EPISODE_NUM	EPISODE_NAME	AUTHOR	START_YEAR	END_YEAR	START_CENTURY	END_CENTURY	MAIN_COUNTRY	MAIN_COUNTRY_ALPHA2	MAIN_CITY	COORD_LAT	COORD_LONG	COORD_ID	URL	DESCRIPTION	TAGS	IMG_URL
1	 Vier Langobarden-Könige und ein Trinkbecher	Daniel					Italy	IT					https://www.zeitsprung.fm/podcast/zs01/	Frühes Mittelalter in Italien: Times are rough, alle wollen ein Stück vom Kuchen des ehemaligen weströmischen Reichs abhaben. Einer von ihnen ist Alboin, Langobardenkönig. Und wie so oft, war auch ihm kein Greisenalter vergönnt. Warum, das erzählen wir euch in unserem allerersten Zeitsprung. Vielen Dank an Thomas Lohninger, der für diese Episode unser Paulus Diaconus war.  Download:  MP3 Audio17 MB   MPEG-4 AAC Audio16 MB   Ogg Vorbis Audio16 MB             Richard                    Daniel                       Thomas               .podlove-contributors-cards { margin-bottom: 1rem; background: white; overflow: hidden; border-radius: 0.375rem; box-shadow: 0 1px 3px 0 rgba(0, 0, 0, 0.1), 0 1px 2px 0 rgba(0, 0, 0, 0.06); } .podlove-contributors-card { display: flex; align-items: center; padding: 1rem 1.5rem } .podlove-contributors-card-inner { display: flex; align-items: center; flex: 1 1 0; min-width: 0; } .podlove-contributors-card-avatar { width: 50px; height: 50px; border-radius: 0.25rem; overflow: hidden; flex-shrink: 0; } .podlove-contributors-card-person { flex: 1 1 0; min-width: 0; padding: 0 1rem; display: grid; grid-template-columns: repeat(2, minmax(0, 1fr)); gap: 1rem; } .podlove-contributors-card-person-details { color: #999 } .podlove-contributors-card-services { flex-wrap: wrap; display: flex; align-items: center; align-content: center; justify-content: flex-end; } .podlove-contributors-card-services-service { display: inline-block; flex-shrink: 0; padding-left: 0.5rem; text-decoration: none; box-shadow: none; }  	Alboin,Byzanz,Langobarden,Mittelalter,Ost-Rom	
2	 Tatortschau mit Wiedererkennungswert	Daniel	1900	1900	20	20							https://www.zeitsprung.fm/podcast/zs02/	Wir springen diesmal nicht ganz so weit zurück in der Geschichte, reden aber wieder über einen Mordfall – vor allen Dingen um seine Aufklärung durch Fingerabdrücke am Tatort. Es geht um die Anfänge der Biometrie und einen gefälschten Fingerabdruck, wobei wir in dem ein oder anderen Nebenplausch die Wissenschafts- und Technikgeschichte streifen. Und ein Kriminologe kommt auch zu Wort.	1900,Bertillon,Daktyloskopie,Fingerabdruck,Kriminalitätsgeschichte,Moderne	
3	 Fitness-Parcours für den Pharao	Daniel					Egypt	EG					https://www.zeitsprung.fm/podcast/zs03/	Wer regieren will, muss fit sein? Aber wie lässt sich die eigene Regierungsfähigkeit unter Beweis stellen? Im alten Ägypten gab es dafür spezielle Methoden. In diesem Zeitsprung sprechen wir darüber, was Pharaonen auch nach 30 Jahren Regentschaft noch so über sich ergehen lassen mussten.	Ägypten,Altertum,Antike,Pharao	
4	 Wellingtons Rache, oder: Ein Bein für ein Königreich	Daniel					France, England	Unknown code, FR					https://www.zeitsprung.fm/podcast/zs04/	Wir springen in die Zeit der napoleonischen Kriege, genauer zu ihrer finalen Schlacht: Bei Waterloo findet nicht nur die Herrschaft der hundert Tage ein Ende, auch ein Bein sieht seinen letzten Tag. Wir erzählen euch, was es damit auf sich hat.	England,Frankreich,Napoleon,Neuzeit,Waterloo,Wellington	
5	 Lernen Sie Geschichte!	Daniel	1981	1981	20	20							https://www.zeitsprung.fm/podcast/zs05/	Wir springen nur wenige Jahrzehnte zurück in das Jahr 1981: Der österreichische Bundeskanzler Bruno Kreisky gibt im Pressefoyer ein denkwürdiges Fernsehinterview. Einen kurzen Ausschnitt dieses Interviews kennen treue Zeitsprung-HörerInnen – aus unserem Jingle. Wir üben uns ein wenig in Quellenkritik und fragen uns, was es mit der Aufforderung Geschichte zu lernen, überhaupt auf sich hat.  Download:  MP3 Audio16 MB   MPEG-4 AAC Audio15 MB   Ogg Vorbis Audio16 MB             Richard                    Daniel                  .podlove-contributors-cards { margin-bottom: 1rem; background: white; overflow: hidden; border-radius: 0.375rem; box-shadow: 0 1px 3px 0 rgba(0, 0, 0, 0.1), 0 1px 2px 0 rgba(0, 0, 0, 0.06); } .podlove-contributors-card { display: flex; align-items: center; padding: 1rem 1.5rem } .podlove-contributors-card-inner { display: flex; align-items: center; flex: 1 1 0; min-width: 0; } .podlove-contributors-card-avatar { width: 50px; height: 50px; border-radius: 0.25rem; overflow: hidden; flex-shrink: 0; } .podlove-contributors-card-person { flex: 1 1 0; min-width: 0; padding: 0 1rem; display: grid; grid-template-columns: repeat(2, minmax(0, 1fr)); gap: 1rem; } .podlove-contributors-card-person-details { color: #999 } .podlove-contributors-card-services { flex-wrap: wrap; display: flex; align-items: center; align-content: center; justify-content: flex-end; } .podlove-contributors-card-services-service { display: inline-block; flex-shrink: 0; padding-left: 0.5rem; text-decoration: none; box-shadow: none; }  	Kreisky,Zeitgeschichte	
6	 Ada und die Pferdewetten	Daniel					England	Unknown code					https://www.zeitsprung.fm/podcast/zs06/	Zu ihrem Vater, Lord Byron, hatte sie zu Lebzeiten keinen Kontakt, dafür ist sie neben ihm begraben. Ein Zeitsprung über Augusta Ada Byron King, Countess of Lovelace, die heute als erste Programmiererin der Welt gilt. Die Maschine, die ihren Code ausführen sollte, die Analytical Engine, ist aber nie gebaut worden. Und der Plan, das fehlende Geld für die Fertigstellung durch Pferdewetten zu verdienen, ist nicht aufgegangen.  Download:  MP3 Audio15 MB   MPEG-4 AAC Audio15 MB   Ogg Vorbis Audio15 MB             Richard                    Daniel                  .podlove-contributors-cards { margin-bottom: 1rem; background: white; overflow: hidden; border-radius: 0.375rem; box-shadow: 0 1px 3px 0 rgba(0, 0, 0, 0.1), 0 1px 2px 0 rgba(0, 0, 0, 0.06); } .podlove-contributors-card { display: flex; align-items: center; padding: 1rem 1.5rem } .podlove-contributors-card-inner { display: flex; align-items: center; flex: 1 1 0; min-width: 0; } .podlove-contributors-card-avatar { width: 50px; height: 50px; border-radius: 0.25rem; overflow: hidden; flex-shrink: 0; } .podlove-contributors-card-person { flex: 1 1 0; min-width: 0; padding: 0 1rem; display: grid; grid-template-columns: repeat(2, minmax(0, 1fr)); gap: 1rem; } .podlove-contributors-card-person-details { color: #999 } .podlove-contributors-card-services { flex-wrap: wrap; display: flex; align-items: center; align-content: center; justify-content: flex-end; } .podlove-contributors-card-services-service { display: inline-block; flex-shrink: 0; padding-left: 0.5rem; text-decoration: none; box-shadow: none; }  	Ada Lovelace,England,Lord Byron,Mathematik,Neuzeit,Technik,Wissenschaft	
7	 Geteilte Habsburger	Daniel					Austria	AT					https://www.zeitsprung.fm/podcast/zs07/	Was passiert eigentlich mit uns, wenn wir tot sind? Die Frage stellen sich eh alle, die Habsburger allerdings wussten es schon. Für sie gab’s ein Ritual, das unsere ungeteilte Aufmerksamkeit verdient, in einem Zeitsprung über mehrere Teile.  Download:  MP3 Audio12 MB   MPEG-4 AAC Audio12 MB   Ogg Vorbis Audio12 MB             Richard                    Daniel                  .podlove-contributors-cards { margin-bottom: 1rem; background: white; overflow: hidden; border-radius: 0.375rem; box-shadow: 0 1px 3px 0 rgba(0, 0, 0, 0.1), 0 1px 2px 0 rgba(0, 0, 0, 0.06); } .podlove-contributors-card { display: flex; align-items: center; padding: 1rem 1.5rem } .podlove-contributors-card-inner { display: flex; align-items: center; flex: 1 1 0; min-width: 0; } .podlove-contributors-card-avatar { width: 50px; height: 50px; border-radius: 0.25rem; overflow: hidden; flex-shrink: 0; } .podlove-contributors-card-person { flex: 1 1 0; min-width: 0; padding: 0 1rem; display: grid; grid-template-columns: repeat(2, minmax(0, 1fr)); gap: 1rem; } .podlove-contributors-card-person-details { color: #999 } .podlove-contributors-card-services { flex-wrap: wrap; display: flex; align-items: center; align-content: center; justify-content: flex-end; } .podlove-contributors-card-services-service { display: inline-block; flex-shrink: 0; padding-left: 0.5rem; text-decoration: none; box-shadow: none; }  	Bestattung,Habsburger,Herzen,Österreich,Tod	
8	 Herr der Fliegen	Daniel											https://www.zeitsprung.fm/podcast/zs08/	Die Drosophila melanogaster ist nicht irgendeine Fliege: Sie ist das erfolgreichste Labortier der Geschichte. Sie hat in den etwas über 100 Jahren ihrer Erforschung schon einiges mitgemacht. In dieser Episode widmen wir uns dem Thema Wissenschaftsgeschichte und springen zu den Anfängen der Genetik und der Biologie als experimenteller Wissenschaft.	Biologie,Labor,Moderne,Neuzeit,Nobelpreis,Wissenschaftsgeschichte	
9	 Wer den englischen Parlamentsbrand auf dem Kerbholz hat	Daniel	1834	1834	19	19	England	Unknown code					https://www.zeitsprung.fm/podcast/zs09/	Im Oktober 1834 wird in London eine fatale Entscheidung getroffen: Wir sprechen in diesem Zeitsprung über Schulden, ein brennendes Parlament und den Stock Exchange. Und was die alle miteinander zu tun haben.	Brand,England,Kerbholz,London,Neuzeit,Parlament,Steuer,Tally Sticks	
10	 Craigslist in der Frühen Neuzeit	Daniel			17	17							https://www.zeitsprung.fm/podcast/zs10/	Wer in der Frühen Neuzeit etwas kaufen oder verkaufen wollte, eine Wohnung oder Arbeit gesucht hat, konnte ab Mitte des 17. Jahrhunderts auf eine neue Form der Informationsvermittlung zurückgreifen. In Adressbüros – oder auch Frag- und Kundschaftsämtern – gab es die Möglichkeit, gegen eine Gebühr, Vermittlungsanliegen in Register eintragen zu lassen. Was heute selbstverständlich klingt, war damals nicht unumstritten.	Adressbüro,Adresscomptoir,Frühe Neuzeit	
